origen,destino,longitud,nombre_calle
6034325606,6034325607,20.576473166294893,Calle 6034325606-6034325607
6034325606,6034325607,20.576473166294893,Calle 6034325606-6034325607
6034325606,6034325607,72.00005839021631,Calle 6034325606-6034325607
6034325606,4742394811,50.37808906601295,Calle 6034325606-4742394811
6034325607,6034325606,20.576473166294893,Calle 6034325607-6034325606
6034325607,6034325606,20.576473166294893,Calle 6034325607-6034325606
6034325607,6034325606,72.00005839021631,Calle 6034325607-6034325606
6034325607,6034325601,20.687984955319042,Calle 6034325607-6034325601
4388323454,7208924585,7.2117908998296,"Planetario, Observatorio"
4388323454,7208924585,7.2117908998296,Observatorio atronomico
4388323454,7208924585,7.2117908998296,Calle 4388323454-7208924585
4388323454,4388323464,9.225154150091361,"Planetario, Observatorio"
4388323454,4388323464,9.225154150091361,Observatorio atronomico
4388323454,4388323464,9.225154150091361,Calle 4388323454-4388323464
4388323454,4741988308,5.756698373816835,Calle 4388323454-4741988308
4388323454,4741988308,5.756698373816835,Calle 4388323454-4741988308
4388323455,4388445110,7.258941727545444,"Planetario, Observatorio"
4388323455,4388445110,7.258941727545444,Observatorio atronomico
4388323455,4388445110,7.258941727545444,Calle 4388323455-4388445110
4388323455,7208924585,7.207474165768487,"Planetario, Observatorio"
4388323455,7208924585,7.207474165768487,Observatorio atronomico
4388323455,7208924585,7.207474165768487,Calle 4388323455-7208924585
4388323457,4388445119,7.262813732557014,"Planetario, Observatorio"
4388323457,4388445119,7.262813732557014,Observatorio atronomico
4388323457,4388445119,7.262813732557014,Calle 4388323457-4388445119
4388323457,4388445110,7.263435995531346,"Planetario, Observatorio"
4388323457,4388445110,7.263435995531346,Observatorio atronomico
4388323457,4388445110,7.263435995531346,Calle 4388323457-4388445110
4388323458,4388323459,9.723620265513109,"Planetario, Observatorio"
4388323458,4388323459,9.723620265513109,Observatorio atronomico
4388323458,4388323459,9.723620265513109,Calle 4388323458-4388323459
4388323458,4741988307,5.553009606413391,"Planetario, Observatorio"
4388323458,4741988307,5.553009606413391,Observatorio atronomico
4388323458,4741988307,5.553009606413391,Calle 4388323458-4741988307
4388323459,7208922578,1.8162192917707694,"Planetario, Observatorio"
4388323459,7208922578,1.8162192917707694,Observatorio atronomico
4388323459,7208922578,1.8162192917707694,Calle 4388323459-7208922578
4388323459,4388323458,9.723620265513109,"Planetario, Observatorio"
4388323459,4388323458,9.723620265513109,Observatorio atronomico
4388323459,4388323458,9.723620265513109,Calle 4388323459-4388323458
4388323460,7208922580,3.881329586877967,"Planetario, Observatorio"
4388323460,7208922580,3.881329586877967,Observatorio atronomico
4388323460,7208922580,3.881329586877967,Calle 4388323460-7208922580
4388323460,7208922577,3.8785393758333955,"Planetario, Observatorio"
4388323460,7208922577,3.8785393758333955,Observatorio atronomico
4388323460,7208922577,3.8785393758333955,Calle 4388323460-7208922577
4388323462,7208922581,3.878277054722017,"Planetario, Observatorio"
4388323462,7208922581,3.878277054722017,Observatorio atronomico
4388323462,7208922581,3.878277054722017,Calle 4388323462-7208922581
4388323462,4388445115,3.8698082491704837,"Planetario, Observatorio"
